,Water,Trees,Grass,Flooded Vegetation,Crops,Shrub & Scrub,Built Area,Bare Ground,Snow & Ice
Water,11.69,55.2,54.08,4.13,17.46,80.83,4.45,1.96,0.0
Trees,2.75,479.51,199.5,5.62,34.03,172.94,12.5,0.58,0.0
Grass,4.55,230.52,980.72,3.56,83.79,358.93,13.87,0.46,0.0
Flooded Vegetation,1.7,50.38,22.13,7.72,0.57,3.91,0.0,0.01,0.0
Crops,0.2,24.07,20.58,0.12,119.98,85.56,14.6,0.4,0.0
Shrub & Scrub,0.11,98.21,74.03,0.52,20.52,385.9,9.78,0.5,0.0
Built Area,0.01,2.08,1.03,0.0,1.78,4.89,38.57,0.12,0.0
Bare Ground,0.1,0.24,0.61,0.0,0.14,0.81,0.29,3.57,0.0
Snow & Ice,0.0,0.01,0.01,0.0,0.0,0.04,0.0,0.0,0.0
